pair_id,claim_company,claim_text,evidence_text,evidence_kind_label,evidence_date,relation,about_claim_company,note
8dd681462758,ADP,"ADP cam kết cung cấp những sản phẩm chất lượng cao, giá cả hợp lý nhất để đáp ứng nhu cầu của khách hàng.",Chất lượng tương đương với dòng sản phẩm 50 triệu/m2 giá trị tương đương 50 triệu VND/m2 achieved,KPIObservation,2026,,,
d934432ed5ce,ACG,"Công ty luôn chú trọng giữ uy tín đối với các cam kết của Công ty. Công ty luôn thanh toán đúng hạn đối với các khoản vay ngân hàng, nợ phải trả cho nhà cung cấp, các khoản tiền phải trả cho người lao động và các khoản phải nộp/ phải trả cho nhà nước, cơ quan BHXH. Công ty luôn công bố thông tin định kỳ về hoạt động kinh doanh (hàng tháng), công bố BCTC (hàng quý/ năm) trên website của Công ty và trên các phương tiện thông tin đại chúng.",Dòng tiền kinh doanh chính quý I/2026 operating cash flow -121.7 tỷ đồng achieved,KPIObservation,2026,,,
870fe9181619,AGG,Đóng góp vào tăng trưởng kinh tế bền vững,8 năm liên tiếp đạt Thương hiệu Quốc gia Việt Nam Thương hiệu Quốc gia Việt Nam 8.0 năm achieved,KPIObservation,2026,,,
8da64d2ed3d0,ACG,Tình hình tuân thủ tiêu chí A.7.1: Thành viên HĐQT có được yêu cầu phải báo cáo giao dịch cổ phiếu Công ty trong 3 ngày làm việc? - Xanh,"Phạt 3 tỷ đồng, cấm giao dịch chứng khoán trong 2 năm do giúp sức thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
725bc8f1c97a,ACG,"Công ty có các chính sách về sức khỏe như chính sách lao động nữ, chính sách cấm sử dụng lao động trẻ em và các chính sách an toàn và bảo vệ cho nhân viên như chính sách cấm lao động cưỡng bức, chính sách bình đẳng giới và chính sách trợ cấp nuôi con nhỏ.","Phạt 3 tỷ đồng, cấm giao dịch chứng khoán trong 2 năm do giúp sức thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
238aad56d20f,AGG,Thông qua việc tăng vốn điều lệ của Công ty,"Phạt 3 tỷ đồng, cấm giao dịch chứng khoán trong 2 năm do giúp sức thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
a9c569400f20,AGG,Việc làm và sinh kế của người lao động,Khoản phải trả cho người lao động tính đến 31/12/2022 payables to employees 23 tỷ đồng achieved,KPIObservation,2022,,,
b73ade9ec41f,ACG,"Công ty có các chính sách về sức khỏe như chính sách lao động nữ, chính sách cấm sử dụng lao động trẻ em và các chính sách an toàn và bảo vệ cho nhân viên như chính sách cấm lao động cưỡng bức, chính sách bình đẳng giới và chính sách trợ cấp nuôi con nhỏ.",Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
51b19d80babf,ADP,"tổ chức huấn luyện, diễn tập PCCC cho toàn thể CBCNV.","Phạt 1,5 tỷ đồng, cấm giao dịch chứng khoán và đảm nhiệm chức vụ trong 2 năm do thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
b7a4d90cebb0,ACG,THÀNH TỰU PHÁT TRIỂN BỀN VỮNG,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
9826f6622225,ACG,"Quyền sử dụng đất tại thửa số 14, tờ bản đồ số 187, phường Chơn Thành, tỉnh Đồng Nai đang được sử dụng làm tài sản đảm bảo cho các hợp đồng đảm bảo tín dụng tại Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam.",Số lô đất thế chấp làm tài sản bảo đảm mortgaged assets 549.0 lots achieved,KPIObservation,2026,,,
739bc023feac,ACG,"Công ty không trả cổ tức bằng phương thức ""Script dividend"".",Cổ tức đợt 1 năm 2026 bằng tiền mặt theo tỷ lệ 7% cổ tức 7.0 percent achieved,KPIObservation,2026,,,
e6015bd13845,ACG,Tình hình tuân thủ tiêu chí A.9.1: Công ty có công bố về việc giao dịch bên liên quan được thực hiện theo phương thức đảm bảo rằng những giao dịch đó là hợp lý và theo cơ chế thị trường? - Xanh,Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
378c70550a9f,AGG,Thông qua việc tăng vốn điều lệ của Công ty,Vốn điều lệ vốn điều lệ 1135.0 tỷ đồng achieved,KPIObservation,2025,,,
2c51d810e119,ACG,Công ty cho phép cổ đông bầu chọn từng Thành viên HĐQT trong năm 2025.,"Phạt 3 tỷ đồng, cấm giao dịch chứng khoán trong 2 năm do giúp sức thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
07c1da6e4f49,AGG,Thông qua kế hoạch tổ chức và dự thảo chương trình họp Đại hội đồng cổ đông thường niên,Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
f8ff946cbafa,AGG,"Doanh thu được ghi nhận khi Tập đoàn có khả năng nhận được các lợi ích kinh tế có thể xác định được một cách chắc chắn. Doanh thu được xác định theo giá trị hợp lý của các khoản đã thu hoặc sẽ thu được sau khi trừ đi các khoản chiết khấu thương mại, giảm giá hàng bán và hàng bán bị trả lại.",Doanh thu thuần về bán hàng và cung cấp dịch vụ revenue 7363.0 tỷ đồng achieved,KPIObservation,2023,,,
5ca5551e7121,ADP,Quyết định bổ nhiệm Phó Chủ tịch HĐQT,AGG: Công ty do Chủ tịch sáng lập bị phạt vì thao túng cổ phiếu,MediaReport,2025-10-01,,,
101058f95b50,ACG,Công ty có thực hiện mục Báo cáo PTBV thể hiện chung trên BCTN và đăng tải thông tin trên wesite.,Dùng 92 tài khoản chứng khoán để thao túng cổ phiếu AGG,MediaReport,2025-10-02,,,
c856f606f7b4,ACG,Đảm bảo các quyền cơ bản của cổ đông.,"Phạt 1,5 tỷ đồng, cấm giao dịch chứng khoán và đảm nhiệm chức vụ trong 2 năm do thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
4d60dc1b8f84,ACG,Cổ đông có thể biểu quyết thông qua đại diện theo ủy quyền hoặc thực hiện bỏ phiếu từ xa qua văn bản hoặc thông qua hệ thống điện tử được Công ty áp dụng theo Khoản 2 Điều 13 Điều lệ Công ty.,"Phạt 3 tỷ đồng, cấm giao dịch chứng khoán trong 2 năm do giúp sức thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
0d940433100a,ACG,Công ty ACG đã cho công ty liên kết CTCP Thắng Lợi Homes vay ngắn hạn để thực hiện dự án đầu tư.,Dư nợ vay ngắn hạn short-term debt 722000000000 VND achieved,KPIObservation,2025,,,
a4aa141ff7d8,ADP,"ADP tiết giảm chi phí sản xuất, kinh doanh",Chi phí quản lý doanh nghiệp “bào mòn” lợi nhuận của Gỗ An Cường,MediaReport,2025-02-11,,,
f3b1aeab6ede,ADP,Quyết định bổ nhiệm Phó Chủ tịch HĐQT,Vốn điều lệ vốn điều lệ 997.0 tỷ đồng achieved,KPIObservation,2025,,,
04862b6b32b7,ACG,tích hợp các mục tiêu PTBV vào hoạt động kinh doanh,Dòng tiền kinh doanh âm năm 2025 operating cash flow -377.0 tỷ đồng achieved,KPIObservation,2025,,,
d0864c8ac551,ADP,"ADP là môi trường giúp các thành viên phát huy tối đa tiềm năng, gia tăng giá trị bản thân và đóng góp cho sự phát triển của Công ty.",năng suất lao động tăng 15%-20% labor_productivity 17.5 percent achieved,KPIObservation,2025,,,
e09d75d62a14,ACG,Tình hình tuân thủ tiêu chí A.8.1: Công ty có chính sách yêu cầu một Tiểu ban gồm Thành viên HĐQT độc lập rà soát giao dịch bên liên quan trọng yếu/quan trọng để xác định liệu những giao dịch đó có phục vụ lợi ích tốt nhất của Công ty và cổ đông? - Xanh,Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
725a0b1d1aa2,ACG,Cải tiến liên tục để luôn theo theo đuổi sự hoàn hảo. Điều đó cũng giúp cho mỗi con người hạn chế tối đa “tính ì”. Và sự cải tiến đóng vai trò hết sức quan trọng nhằm quyết định cho sự phát triển cũng như đột phá thành công và tiến đến vững bền phát triển của An Cường.,Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
009e7018eb14,ACG,Tình hình tuân thủ tiêu chí A.9.1: Công ty có công bố về việc giao dịch bên liên quan được thực hiện theo phương thức đảm bảo rằng những giao dịch đó là hợp lý và theo cơ chế thị trường? - Xanh,"Phạt 1,5 tỷ đồng, cấm giao dịch chứng khoán và đảm nhiệm chức vụ trong 2 năm do thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
878e822d2086,AAA,"Công ty luôn chú trọng, đầu tư vào hoạt động nghiên cứu, phát triển các sản phẩm mới, góp phần vào sự phát triển của ngành công nghiệp sản xuất bao bì và hạt nhựa.","Nhựa An Phát Xanh (AAA): Hé lộ sản phẩm “át chủ bài” mới, mục tiêu chiếm lĩnh thị trường Mỹ",MediaReport,2024-07-10,,,
e55948a63b08,ACG,"Công ty không bị kết luận vi phạm về giao dịch nội gián của HĐQT, Ban TGĐ và nhân viên","Phạt 1,5 tỷ đồng, cấm giao dịch chứng khoán và đảm nhiệm chức vụ trong 2 năm do thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
cba0ed858265,ACG,Tình hình tuân thủ tiêu chí B.1.4: Công ty có công bố mục tiêu bền vững về mặt định lượng không? - Xanh,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
58992f442cbf,ACG,"Tình hình tuân thủ tiêu chí A.9.2: Đối với những giao dịch bên liên quan được chấp thuận bởi ĐHĐCĐ, có được thông qua bởi những cổ đông không có liên quan lợi ích? - Xanh",Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
f8bccf369818,ACG,"Quyền sử dụng đất tại thửa số 14, tờ bản đồ số 187, phường Chơn Thành, tỉnh Đồng Nai đang được sử dụng làm tài sản đảm bảo cho các hợp đồng đảm bảo tín dụng tại Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam.","An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
a29475913a1c,AGG,Thay đổi địa điểm tổ chức Đại hội đồng cổ đông thường niên,"Cổ phiếu lao dốc, Gỗ An Cường tổ chức Đại hội đồng cổ đông trực tuyến",MediaReport,2023-04-26,,,
853880fb72c6,ACG,Công ty cho phép cổ đông bầu chọn từng Thành viên HĐQT trong năm 2025.,"Phạt 1,5 tỷ đồng, cấm giao dịch chứng khoán và đảm nhiệm chức vụ trong 2 năm do thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
e6b85cd7e98c,ACG,"Chú trọng công tác đào tạo, phát triển nguồn nhân lực và xây dựng môi trường làm việc tốt.",Đạt danh hiệu Nơi làm việc tốt nhất châu Á Nơi làm việc tốt nhất châu Á achieved,KPIObservation,2026,,,
94f79fee8cc5,ACG,Công ty ACG đã cho công ty liên kết CTCP Thắng Lợi Homes vay ngắn hạn để thực hiện dự án đầu tư.,"Tăng lãi từ các công ty liên doanh, liên kết quý I/2026 so với cùng kỳ profit from associates growth 774.2 percent achieved",KPIObservation,2026,,,
aadf739186f1,ACG,Công ty công bố giao dịch cổ phiếu của Công ty do người nội bộ Công ty thực hiện.,Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
311df1f023b5,ACG,Hoạt Động Phát Triển Bền Vững 2022,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
33f29a919c5f,ACG,"Mọi nhân viên luôn được tuyển chọn, đào tạo, định hướng và sắp xếp công việc hợp lý nhất theo phương châm “đúng người - đúng việc"" nhằm giúp họ say mê sáng tạo và tận tâm trong công việc, điều đó sẽ góp phần mang lại những sản phẩm tốt cùng với chất lượng dịch vụ tốt nhất đến với khách hàng. Và đó cũng làm yếu tố làm nên giá trị của doanh nghiệp.",Đạt danh hiệu Nơi làm việc tốt nhất châu Á Nơi làm việc tốt nhất châu Á achieved,KPIObservation,2026,,,
3b91eb5d3a8b,ACG,"Tình hình tuân thủ tiêu chí A.9.2: Đối với những giao dịch bên liên quan được chấp thuận bởi ĐHĐCĐ, có được thông qua bởi những cổ đông không có liên quan lợi ích? - Xanh",Nhóm liên quan VinaCapital giao dịch trái chiều 133.200 cổ phiếu Gỗ An Cường (ACG),MediaReport,2026-05-26,,,
c4bbca318193,ADP,"lấy sự thỏa mãn khách hàng làm thước đo sự trung tín, sức sáng tạo và nỗ lực hoàn thiện của công ty",Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
a9ef34f8478d,AAA,"AAA đã nỗ lực để “xanh” trong cách doanh nghiệp vận hành, đồng thời thúc đẩy chuyển dịch cơ cấu sản phẩm sang các sản phẩm thân thiện với môi trường.",Giảm phát thải: Khi doanh nghiệp 'chuyển vai' từ tìm hiểu sang triển khai,MediaReport,2026-07-20,,,
62012e632079,AGG,Thông qua việc tăng vốn điều lệ của Công ty,Vốn điều lệ của CTCP Kinh doanh và Đầu tư Bình Dương charter capital 618.0 billion VND achieved,KPIObservation,2026,,,
b08157048cff,ACG,Tình hình tuân thủ tiêu chí A.8.1: Công ty có chính sách yêu cầu một Tiểu ban gồm Thành viên HĐQT độc lập rà soát giao dịch bên liên quan trọng yếu/quan trọng để xác định liệu những giao dịch đó có phục vụ lợi ích tốt nhất của Công ty và cổ đông? - Xanh,"Phạt 3 tỷ đồng, cấm giao dịch chứng khoán trong 2 năm do giúp sức thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
9d459eb2aafc,ACG,Công ty công bố giao dịch cổ phiếu của Công ty do người nội bộ Công ty thực hiện.,Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
02b0537c9ca8,ACG,Tình hình tuân thủ tiêu chí B.1.4: Công ty có công bố mục tiêu bền vững về mặt định lượng không? - Xanh,7 lần được vinh danh Top 100 Doanh nghiệp Bền vững (CSI) Top 100 Doanh nghiệp Bền vững (CSI) 7.0 lần achieved,KPIObservation,2026,,,
da342c0f367c,ACG,"Quyền sử dụng đất của thửa đất 218, thửa đất 441 tọa lạc tại phường Tân Khánh, Thành phố Hồ Chí Minh đã được dùng để làm tài sản thế chấp cho các khoản vay ngắn hạn ngân hàng của Nhóm Công ty.",Vay ngắn hạn short-term debt 507.0 billion VND achieved,KPIObservation,2026,,,
abadc9c467c6,ACG,"Không áp dụng quyền mua cổ phiếu, cổ phiếu thưởng cho Thành viên độc lập HĐQT không điều hành",Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
b8e1d711983c,AGG,Thông qua việc tăng vốn điều lệ của Công ty,Vốn điều lệ vốn điều lệ 718.0 tỷ đồng achieved,KPIObservation,2025,,,
dc2b4e0f96c1,AGG,Việc làm và sinh kế của người lao động,năng suất lao động tăng 15%-20% labor_productivity 17.5 percent achieved,KPIObservation,2025,,,
f523087e36b2,ACG,Tình hình tuân thủ tiêu chí A.8.3: Công ty có chính sách về khoản vay cho Thành viên HĐQT trong đó quy định cấm hoạt động này hoặc đảm bảo rằng các khoản vay được thực hiện trên cơ sở giao dịch hợp lý theo lãi suất thị trường? - Xanh,"Phạt 1,5 tỷ đồng, cấm giao dịch chứng khoán và đảm nhiệm chức vụ trong 2 năm do thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
a53cf6af708c,AGG,"Thông qua các giao dịch giữa Công ty và công ty con, các bên có liên quan trong năm 2020","Phạt 1,5 tỷ đồng, cấm giao dịch chứng khoán và đảm nhiệm chức vụ trong 2 năm do thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
50e83e8bb17e,ADP,"Cam kết cung cấp những sản phẩm chất lượng cao, giá cả hợp lý nhất",Chất lượng tương đương với dòng sản phẩm 50 triệu/m2 giá trị tương đương 50 triệu VND/m2 achieved,KPIObservation,2026,,,
d5b8334f4244,AGG,Triển khai phương án phát hành cổ phiếu để chi trả cổ tức cho Cổ đông,Giá trị phát hành cổ phiếu trả cổ tức năm 2021 theo mệnh giá Giá trị phát hành cổ phiếu trả cổ tức theo mệnh giá 438.0 tỷ đồng achieved,KPIObservation,2022,,,
669721c537ca,AAA,trao tặng số tiền 30.000.000 đồng để ủng hộ đồng bào miền Trung thiệt hại do cơn bão số 10.,Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
5cb4650ffa01,AGG,Triển khai phương án phát hành cổ phiếu để chi trả cổ tức cho Cổ đông,ADP: Nghị quyết HĐQT về chi trả cổ tức đợt 1 năm 2026,MediaReport,2026-07-25,,,
a1bb3b512b0d,ACC,"Cam kết với định hướng phát triển bền vững bằng tất cả trách nhiệm và đạo đức kinh doanh của một doanh nghiệp, đề cao giá trị doanh nghiệp trong mối quan hệ với sự phát triển tốt đẹp của cộng đồng và xã hội.","An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
4463d15fb8ee,AAA,"AAA đã nỗ lực để “xanh” trong cách doanh nghiệp vận hành, đồng thời thúc đẩy chuyển dịch cơ cấu sản phẩm sang các sản phẩm thân thiện với môi trường.",Giảm phát thải: Khi doanh nghiệp 'chuyển vai' từ tìm hiểu sang triển khai,MediaReport,2026-07-20,,,
72816e063866,ACG,"thực hiện chi trả cổ tức năm 2024 đợt 2 và tạm ứng cổ tức năm 2025 đợt 1 bằng tiền mặt, với tổng giá trị chi trả hơn 300 tỷ đồng",Tiền mặt tại 31/12/2024 cash_balance 50.8 tỷ đồng achieved,KPIObservation,2024,,,
33552acff276,ACG,An Cường đã minh chứng được chữ “Tầm” bằng cách tạo được chỗ đứng vững chắc trong ngành vật liệu nội thất tại thị trường Việt Nam cũng như quốc tế.,Thị phần mảng gỗ công nghiệp và nội thất làm từ gỗ công nghiệp phân khúc trung và cao cấp tại thị trường trong nước thị phần 55.0 percent achieved,KPIObservation,2022,,,
dd3a769d27ab,ACG,"Công ty không trả cổ tức bằng phương thức ""Script dividend"".",Số lượng cổ phiếu phát hành để trả cổ tức năm 2021 Số lượng cổ phiếu phát hành 43.82 triệu cổ phiếu achieved,KPIObservation,2022,,,
2f274900b2d1,ACG,Cải tiến liên tục để luôn theo theo đuổi sự hoàn hảo. Điều đó cũng giúp cho mỗi con người hạn chế tối đa “tính ì”. Và sự cải tiến đóng vai trò hết sức quan trọng nhằm quyết định cho sự phát triển cũng như đột phá thành công và tiến đến vững bền phát triển của An Cường.,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
bb1be6bee89f,ACG,"Công ty không trả cổ tức bằng phương thức ""Script dividend"".",ADP: Nghị quyết HĐQT về chi trả cổ tức đợt 1 năm 2026,MediaReport,2026-07-25,,,
ab55877a9e36,ACG,"Tình hình tuân thủ tiêu chí B.1.3: Công ty có áp dụng khung báo cáo hoặc tiêu chuẩn được quốc tế công nhận về tính bền vững (ví dụ: GRI, Báo cáo tích hợp, SASB, Tiêu chuẩn công bố bền vững IFRS) không? - Xanh",7 lần được vinh danh Top 100 Doanh nghiệp Bền vững (CSI) Top 100 Doanh nghiệp Bền vững (CSI) 7.0 lần achieved,KPIObservation,2026,,,
d313ec5f9f99,ACG,"Công ty công bố kết quả kiểm phiếu bao gồm số phiếu thông qua, không tán thành và phiếu trống cho mỗi nội dung dự thảo lấy ý kiến của ĐHĐCĐ thường niên năm 2025.",Dùng 92 tài khoản chứng khoán để thao túng cổ phiếu AGG,MediaReport,2025-10-02,,,
5905bbcd2c33,ADP,"Áp dụng công nghệ tiên tiến để giảm thiểu phát thải khí thải, nước thải, tiếng ồn, rung",Giảm phát thải: Khi doanh nghiệp 'chuyển vai' từ tìm hiểu sang triển khai,MediaReport,2026-07-20,,,
27cd0473c81f,AGG,Thông qua việc tăng vốn điều lệ của Công ty,Vốn điều lệ vốn điều lệ 20.0 tỷ đồng achieved,KPIObservation,2026,,,
3d294e5a3b2a,ADP,"Là môi trường giúp các thành viên phát huy tối đa tiềm năng, gia tăng giá trị bản thân và đóng góp cho sự phát triển của Công ty.",Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
5f9d421ae420,ACG,Công ty ACG đã cho công ty liên kết CTCP Thắng Lợi Homes vay ngắn hạn để thực hiện dự án đầu tư.,Vay ngắn hạn short-term debt 507.0 billion VND achieved,KPIObservation,2026,,,
89e0f7a82eb3,ACG,Cổ đông bầu chọn từng Thành viên HĐQT bằng cách bỏ phiếu bầu cử tại cuộc họp ĐHĐCĐ hoặc gửi phiếu bầu cử trong các đợt lấy ý kiến cổ đông bằng văn bản. HĐQT đều xây dựng Quy chế bầu cử và trình Quy chế này cho ĐHĐCĐ.,Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
079b0f225aa6,AGG,Mang đến trải nghiệm sống tốt hơn cho khách hàng,Đạt danh hiệu Nơi làm việc tốt nhất châu Á Nơi làm việc tốt nhất châu Á achieved,KPIObservation,2026,,,
a7997cf3c041,ACG,An Cường đã có những bước tiến vượt bậc so với mục tiêu được hoạch định đầu năm.,Vốn điều lệ vốn điều lệ 997.0 tỷ đồng achieved,KPIObservation,2025,,,
76df95010ebe,ACG,"Nghị quyết của ĐHĐCĐ số 09-2022/NQ-GAC ngày 06/06/2022 thông qua phương án chia cổ tức năm 2021, Kế hoạch chi trả cổ tức năm 2022.",Số lượng cổ phiếu phát hành để trả cổ tức năm 2021 Số lượng cổ phiếu phát hành 43.82 triệu cổ phiếu achieved,KPIObservation,2022,,,
3a805a08028c,ADP,"ADP tiết giảm chi phí sản xuất, kinh doanh",Giảm chi phí bán hàng và quản lý doanh nghiệp quý I/2026 so với cùng kỳ selling and administrative expenses growth -31.4 percent achieved,KPIObservation,2026,,,
658a91bd3821,AGG,"Thông qua các giao dịch giữa Công ty và công ty con, các bên có liên quan trong năm 2020",Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
