pair_id,claim_company,claim_text,evidence_text,evidence_kind_label,evidence_date,relation,about_claim_company,note
566d0cc36912,ACG,"Nghị quyết của ĐHĐCĐ số 09-2022/NQ-GAC ngày 06/06/2022 thông qua phương án chia cổ tức năm 2021, Kế hoạch chi trả cổ tức năm 2022.",Tỷ lệ trả cổ tức bằng cổ phiếu năm 2021 Tỷ lệ trả cổ tức bằng cổ phiếu 50.0 percent achieved,KPIObservation,2021,,,
33552acff276,ACG,An Cường đã minh chứng được chữ “Tầm” bằng cách tạo được chỗ đứng vững chắc trong ngành vật liệu nội thất tại thị trường Việt Nam cũng như quốc tế.,Thị phần mảng gỗ công nghiệp và nội thất làm từ gỗ công nghiệp phân khúc trung và cao cấp tại thị trường trong nước thị phần 55.0 percent achieved,KPIObservation,2022,,,
0dc1c39f837b,ACG,"Cung cấp sản phẩm chất lượng cao, đảm bảo tiêu chuẩn an toàn với sức khỏe người tiêu dùng và thân thiện với môi trường.",Chất lượng tương đương với dòng sản phẩm 60 triệu/m2 giá trị tương đương 60 triệu VND/m2 achieved,KPIObservation,2026,,,
2248d938b4b5,ACG,"An Cường xây dựng các giá trị bền vững bằng cách nuôi dưỡng sự cân bằng giữa hiệu quả kinh tế và những đóng góp cho môi trường, xã hội, cộng đồng.","An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
577dad958bfd,ACG,"Cung cấp sản phẩm chất lượng cao, đảm bảo tiêu chuẩn an toàn với sức khỏe người tiêu dùng và thân thiện với môi trường.",Chất lượng tương đương với dòng sản phẩm 50 triệu/m2 giá trị tương đương 50 triệu VND/m2 achieved,KPIObservation,2026,,,
55bb3d7c60f5,ACG,"An Cường xây dựng các giá trị bền vững bằng cách nuôi dưỡng sự cân bằng giữa hiệu quả kinh tế và những đóng góp cho môi trường, xã hội, cộng đồng.","[LIVE] ĐHĐCĐ Gỗ An Cường: Công ty đã không còn nợ xấu, sắp thu hồi được bằng bất động sản",MediaReport,2026-05-07,,,
7b8cfde1f4fc,AGG,"Nền tảng tài chính vững mạnh, báo cáo minh bạch, chuẩn mực là hành trang giúp An Gia tiếp cận thị trường vốn hiệu quả, thể hiện qua các đợt huy động vốn thành công từ quỹ đầu tư, định chế tài chính, phát hành trái phiếu…, hướng đến một tương lai vững bền.",Koterasu đạt thỏa thuận đầu tư 10 triệu USD vào An Gia (AGG),MediaReport,2023-09-14,,,
ad6fe98ee1f0,ACG,An Cường đã minh chứng được chữ “Tầm” bằng cách tạo được chỗ đứng vững chắc trong ngành vật liệu nội thất tại thị trường Việt Nam cũng như quốc tế.,"Gỗ An Cường hiện diện ấn tượng tại Triển lãm ""Rạng Rỡ Việt Nam""",MediaReport,2025-08-30,,,
22b3ca81ace9,ACG,"BTGĐ đã chủ động, sáng tạo và linh hoạt trong công tác điều hành, triển khai các chiến lược kinh doanh linh hoạt nhằm nắm bắt tốt các cơ hội kinh doanh, đảm bảo tuân thủ các nguyên tắc quản trị rủi ro qua đó hoàn thành vượt kế hoạch kinh doanh mà ĐHĐCĐ thường niên 2022 đã thông qua.",Vượt chỉ tiêu lợi nhuận đề ra cho năm 2022 net profit plan completion 0.6 percent achieved,KPIObservation,2022,,,
6758afc41704,ACG,"Công ty công bố Báo cáo tài chính hợp nhất và báo cáo tài chính riêng hàng quý bằng song ngữ (tiếng Việt và tiếng Anh). Bên cạnh đó, Công ty công bố báo cáo IR định kỳ hàng quý.",Gỗ An Cường (ACG) báo lãi cao nhất 6 quý dù doanh thu sụt giảm,MediaReport,2025-07-30,,,
9989fbe9fa96,ACG,An Cường đã có những bước tiến vượt bậc so với mục tiêu được hoạch định đầu năm.,Tăng trưởng lợi nhuận ròng 11 tháng đầu năm 2022 so với cùng kỳ 2021 net profit growth 45.6 percent achieved,KPIObservation,2022,,,
47975fff94d2,ACG,Tình hình tuân thủ tiêu chí B.1.5: Công ty có tiết lộ tiến trình về hiệu suất liên quan đến tính bền vững so với các mục tiêu đã thiết lập trước đó không? - Vàng,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
d8187ff5113b,ACG,"Nghị quyết của ĐHĐCĐ số 09-2022/NQ-GAC ngày 06/06/2022 thông qua phương án chia cổ tức năm 2021, Kế hoạch chi trả cổ tức năm 2022.",Giá trị phát hành cổ phiếu trả cổ tức năm 2021 theo mệnh giá Giá trị phát hành cổ phiếu trả cổ tức theo mệnh giá 438.0 tỷ đồng achieved,KPIObservation,2022,,,
9cbc955d1cf7,ACG,"Công ty đã ban hành và thực hiện chính sách khen thưởng và phúc lợi cả trong dài hạn và ngắn hạn nhằm khuyến khích sự gắn bó của người lao động, ghi nhận đóng góp của người lao động và gia tăng năng suất lao động. Chương trình khen thưởng bao gồm: phát hành ESOP cho CBNV, thưởng thâm niên, thưởng hàng năm dựa trên kết quả công việc.",năng suất lao động tăng 15%-20% labor_productivity 17.5 percent achieved,KPIObservation,2025,,,
b7a4d90cebb0,ACG,THÀNH TỰU PHÁT TRIỂN BỀN VỮNG,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
311df1f023b5,ACG,Hoạt Động Phát Triển Bền Vững 2022,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
618d6ee71045,ACG,"BTGĐ đã chủ động, sáng tạo và linh hoạt trong công tác điều hành, triển khai các chiến lược kinh doanh linh hoạt nhằm nắm bắt tốt các cơ hội kinh doanh, đảm bảo tuân thủ các nguyên tắc quản trị rủi ro qua đó hoàn thành vượt kế hoạch kinh doanh mà ĐHĐCĐ thường niên 2022 đã thông qua.",Hoàn thành 114% kế hoạch doanh thu hoàn thành kế hoạch doanh thu 114.0 phần trăm achieved,KPIObservation,2025,,,
